time,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,Q,T (C),S_H_ion,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_co2,S_nh3,S_nh4_ion,S_gas_h2,S_gas_ch4,S_gas_co2
209,0.0010103455701837292,0.042312120843545846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008062597364174582,0.0025726509372230835,0.0299225989513022,0.0,3.7317583116724715,17.22701008111545,8.037259320405571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.229545046839828,0.0,0.004811342622784458,138.49896971359044,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,0.0073803148479124475,0.03936436028235402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007818035671640999,0.0019793775787464688,0.030253628697642834,0.0,4.255900408639913,16.34883803072105,9.285428395310001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.628226106076436,0.0,0.0051547361951323435,172.91968699440062,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,0.002630971027019833,0.03459012979695851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008019688474471614,0.0019312995541345627,0.025200470543983115,0.0,3.83678711279901,12.969411412251068,8.393610375185652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.46129599839666,0.0,0.005370166197479823,209.4902008865072,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,0.0034624464018469477,0.02528434885436231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009070157980111312,0.0023014171624070935,0.022879947425011052,0.0,2.4943444749834955,10.808810942167371,5.390584927505408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.02888637887603,0.0,0.005941115280726157,273.76243251170524,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,0.003173289460079073,0.04289602244593671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00799295764040152,0.002053260781381323,0.028527151539466233,0.0,4.2236656222350915,15.03240619368634,9.201482842666913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.354507283329653,0.0,0.005206122467641614,171.67468646741008,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,0.006587356127816688,0.04182694495277944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007924561928023105,0.0020403964020496873,0.03011225108436776,0.0,4.423263281076448,16.67809487463628,9.658861338897195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.73212424604128,0.0,0.005147090061536115,176.91571356636032,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,0.0,0.041270385906991634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008091153996593667,0.0021518492992262397,0.032540692094583705,0.0,3.481926783654161,17.50045589489289,7.46522472863452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.319231829879673,0.0,0.005207014243150729,152.01323905536162,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,0.0007092527048340207,0.036900985228533294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007909977351524438,0.0017660076865672189,0.02885744974092345,0.0,3.730086817686154,15.23622473765009,8.048653840447809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.07255397711867,0.0,0.005434241347596896,152.26410662679106,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,0.0022060824829107603,0.048105908675033206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007932438476606489,0.0020502292419123124,0.028939698529553904,0.0,4.643321831256748,16.47074910144533,10.162100226026205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.74617067748731,0.0,0.005158589471388063,164.237670946252,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,0.006329132945208958,0.04618080564836614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007840464928756197,0.0020100177220757605,0.03132736152717001,0.0,4.482776426717074,17.708502922442417,9.788378480691355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.73303330997542,0.0,0.0051137463431529485,160.66531445040582,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
